,SRS045739,SRS015217,SRS049896,SRS012849,SRS011529,SRS014459,SRS011134,SRS016517,SRS020233,SRS014313,SRS017821,SRS045645,SRS021948,SRS016095,SRS023176,SRS011452,SRS013476,SRS013639,SRS045713,SRS015854,SRS019787,SRS017191,SRS049900,SRS017521,SRS043667,SRS019910,SRS020869,SRS018984,SRS015133,SRS015190,SRS016267,SRS013158,SRS015065,SRS018133,SRS024388,SRS049959,SRS019030,SRS015264,SRS017247,SRS015960,SRS022713,SRS013098,SRS015431,SRS048164,SRS011405,SRS016989,SRS019161,SRS024075,SRS015782,SRS024009,SRS019601,SRS017307,SRS015794,SRS018351,SRS018427,SRS019267,SRS015578,SRS024132,SRS043001,SRS013638,SRS021153,SRS019068,SRS042284,SRS045528,SRS024265,SRS014923,SRS048870,SRS013521,SRS016203,SRS021484,SRS011239,SRS049164,SRS023583,SRS012273,SRS018575,SRS012902,SRS014287,SRS047044,SRS017916,SRS015369,SRS043411,SRS043701,SRS014235,SRS049712,SRS016438,SRS016753,SRS016495,SRS016335,SRS049402,SRS045004,SRS011084,SRS024663,SRS013687,SRS023971,SRS019685,SRS023829,SRS042628,SRS020622,SRS014613,SRS011302,SRS017701,SRS022524,SRS011586,SRS022137,SRS017103,SRS024435,SRS023914,SRS011271,SRS013951,SRS018656,SRS017433,SRS019582,SRS018817,SRS018313,SRS024331,SRS013800,SRS023346,SRS013215,SRS019968,SRS023526,SRS022071,SRS019397,SRS015663,SRS047014,SRS019381,SRS016585,SRS024549,SRS014979,SRS024625,SRS011061,SRS020328,SRS016018,SRS012969,SRS016954,SRS015890,SRS021219,SRS016437,SRS016056,SRS022609,SRS014683,SRS047210,SRS017209,SRS023352,SRS047219,SRS018300,SRS023617,SRS013234,SRS011306,SRS015057,SRS078182,SRS019327,SRS018969,SRS015174,SRS014271,SRS021496,SRS063932,SRS062761,SRS019045,SRS053854,SRS011140,SRS013502,SRS055495,SRS013164,SRS062544,SRS023958,SRS053603,SRS016002,SRS044486,SRS056622,SRS012279,SRS015272,SRS063193,SRS017713,SRS018739,SRS022621,SRS015209,SRS013879,SRS045715,SRS016037,SRS023835,SRS019974,SRS014888,SRS017007,SRS014573,SRS024318,SRS057539,SRS050244,SRS018439,SRS015893,SRS052227,SRS016342,SRS013705,SRS019071,SRS054687,SRS015644,SRS011086,SRS024081,SRS017439,SRS016740,SRS065278,SRS016501,SRS042131,SRS015537,SRS042910,SRS055426,SRS022530,SRS057692,SRS024375,SRS019607,SRS023557,SRS020334,SRS018357,SRS044662,SRS024637,SRS014470,SRS047824,SRS042643,SRS015941,SRS043663,SRS049389,SRS018791,SRS016319,SRS024580,SRS017808,SRS015038,SRS011243,SRS023926,SRS077736,SRS019894,SRS019219,SRS063288,SRS017120,SRS016225,SRS015434,SRS017076,SRS017533,SRS022143,SRS064774,SRS021954,SRS048411,SRS013818,SRS014124,SRS064423,SRS014684,SRS057205,SRS057791,SRS075404,SRS015797,SRS062540,SRS024138,SRS019022,SRS024015,SRS022077,SRS011115,SRS018591,SRS051791,SRS024441,SRS056323,SRS020220,SRS018145,SRS015762,SRS024277,SRS045127,SRS049147,SRS050669,SRS019122,SRS044373,SRS057355,SRS016569,SRS016086,SRS020856,SRS015395,SRS058336,SRS048791,SRS019389,SRS022719,SRS016529
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halalkalicoccus;s__Halalkalicoccus_jeotgali;t__Halalkalicoccus_jeotgali_B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Natronomonas;s__Natronomonas_moolapensis;t__Natronomonas_moolapensis_8.8.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Natronomonas;s__Natronomonas_pharaonis;t__Natronomonas_pharaonis_DSM_2160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,5,,,,,,,2,,,,,,,,,,,2,,1,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,1,,1,,,,,,,,,,3,,,,5,6,,,,12,,12,,,,,,,1,,,,,,,1,,,,,,,,,,,,,3,,2,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloferax;s__Haloferax_mediterranei;t__Haloferax_mediterranei_ATCC_33500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloferax;s__Haloferax_volcanii;t__Haloferax_volcanii_DS2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloquadratum;s__Haloquadratum_walsbyi;t__Haloquadratum_walsbyi_DSM_16790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum_lacusprofundi;t__Halorubrum_lacusprofundi_ATCC_49239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrialba;s__Natrialba_magadii;t__Natrialba_magadii_ATCC_43099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium_sp._MB1;t__Unknown,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_ruminantium;t__Methanobrevibacter_ruminantium_M1,,,,,2,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,3,,,,3,,,,,,,,,,,,,,,5,,,,13,1,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
