SampleID	body_site
SRS011061	stool
SRS011084	stool
SRS011086	tongue
SRS011115	tongue
SRS011134	stool
SRS011140	tongue
SRS011239	stool
SRS011243	tongue
SRS011271	stool
SRS011302	stool
SRS011306	tongue
SRS011405	stool
SRS011452	stool
SRS011529	stool
SRS011586	stool
SRS012273	stool
SRS012279	tongue
SRS012849	stool
SRS012902	stool
SRS012969	stool
SRS013098	stool
SRS013158	stool
SRS013164	tongue
SRS013215	stool
SRS013234	tongue
SRS013476	stool
SRS013502	tongue
SRS013521	stool
SRS013638	stool
SRS013639	stool
SRS013687	stool
SRS013705	tongue
SRS013800	stool
SRS013818	tongue
SRS013879	tongue
SRS013951	stool
SRS014124	tongue
SRS014235	stool
SRS014271	tongue
SRS014287	stool
SRS014313	stool
SRS014459	stool
SRS014470	tongue
SRS014573	tongue
SRS014613	stool
SRS014683	stool
SRS014684	tongue
SRS014888	tongue
SRS014923	stool
SRS014979	stool
SRS015038	tongue
SRS015057	tongue
SRS015065	stool
SRS015133	stool
SRS015174	tongue
SRS015190	stool
SRS015209	tongue
SRS015217	stool
SRS015264	stool
SRS015272	tongue
SRS015369	stool
SRS015395	tongue
SRS015431	stool
SRS015434	tongue
SRS015537	tongue
SRS015578	stool
SRS015644	tongue
SRS015663	stool
SRS015762	tongue
SRS015782	stool
SRS015794	stool
SRS015797	tongue
SRS015854	stool
SRS015890	stool
SRS015893	tongue
SRS015941	tongue
SRS015960	stool
SRS016002	tongue
SRS016018	stool
SRS016037	tongue
SRS016056	stool
SRS016086	tongue
SRS016095	stool
SRS016203	stool
SRS016225	tongue
SRS016267	stool
SRS016319	tongue
SRS016335	stool
SRS016342	tongue
SRS016437	stool
SRS016438	stool
SRS016495	stool
SRS016501	tongue
SRS016517	stool
SRS016529	tongue
SRS016569	tongue
SRS016585	stool
SRS016740	tongue
SRS016753	stool
SRS016954	stool
SRS016989	stool
SRS017007	tongue
SRS017076	tongue
SRS017103	stool
SRS017120	tongue
SRS017191	stool
SRS017209	tongue
SRS017247	stool
SRS017307	stool
SRS017433	stool
SRS017439	tongue
SRS017521	stool
SRS017533	tongue
SRS017701	stool
SRS017713	tongue
SRS017808	tongue
SRS017821	stool
SRS017916	stool
SRS018133	stool
SRS018145	tongue
SRS018300	tongue
SRS018313	stool
SRS018351	stool
SRS018357	tongue
SRS018427	stool
SRS018439	tongue
SRS018575	stool
SRS018591	tongue
SRS018656	stool
SRS018739	tongue
SRS018791	tongue
SRS018817	stool
SRS018969	tongue
SRS018984	stool
SRS019022	tongue
SRS019030	stool
SRS019045	tongue
SRS019068	stool
SRS019071	tongue
SRS019122	tongue
SRS019161	stool
SRS019219	tongue
SRS019267	stool
SRS019327	tongue
SRS019381	stool
SRS019389	tongue
SRS019397	stool
SRS019582	stool
SRS019601	stool
SRS019607	tongue
SRS019685	stool
SRS019787	stool
SRS019894	tongue
SRS019910	stool
SRS019968	stool
SRS019974	tongue
SRS020220	tongue
SRS020233	stool
SRS020328	stool
SRS020334	tongue
SRS020622	stool
SRS020856	tongue
SRS020869	stool
SRS021153	stool
SRS021219	stool
SRS021484	stool
SRS021496	tongue
SRS021948	stool
SRS021954	tongue
SRS022071	stool
SRS022077	tongue
SRS022137	stool
SRS022143	tongue
SRS022524	stool
SRS022530	tongue
SRS022609	stool
SRS022621	tongue
SRS022713	stool
SRS022719	tongue
SRS023176	stool
SRS023346	stool
SRS023352	tongue
SRS023526	stool
SRS023557	tongue
SRS023583	stool
SRS023617	tongue
SRS023829	stool
SRS023835	tongue
SRS023914	stool
SRS023926	tongue
SRS023958	tongue
SRS023971	stool
SRS024009	stool
SRS024015	tongue
SRS024075	stool
SRS024081	tongue
SRS024132	stool
SRS024138	tongue
SRS024265	stool
SRS024277	tongue
SRS024318	tongue
SRS024331	stool
SRS024375	tongue
SRS024388	stool
SRS024435	stool
SRS024441	tongue
SRS024549	stool
SRS024580	tongue
SRS024625	stool
SRS024637	tongue
SRS024663	stool
SRS042131	tongue
SRS042284	stool
SRS042628	stool
SRS042643	tongue
SRS042910	tongue
SRS043001	stool
SRS043411	stool
SRS043663	tongue
SRS043667	stool
SRS043701	stool
SRS044373	tongue
SRS044486	tongue
SRS044662	tongue
SRS045004	stool
SRS045127	tongue
SRS045528	stool
SRS045645	stool
SRS045713	stool
SRS045715	tongue
SRS045739	stool
SRS047014	stool
SRS047044	stool
SRS047210	tongue
SRS047219	tongue
SRS047824	tongue
SRS048164	stool
SRS048411	tongue
SRS048791	tongue
SRS048870	stool
SRS049147	tongue
SRS049164	stool
SRS049389	tongue
SRS049402	stool
SRS049712	stool
SRS049896	stool
SRS049900	stool
SRS049959	stool
SRS050244	tongue
SRS050669	tongue
SRS051791	tongue
SRS052227	tongue
SRS053603	tongue
SRS053854	tongue
SRS054687	tongue
SRS055426	tongue
SRS055495	tongue
SRS056323	tongue
SRS056622	tongue
SRS057205	tongue
SRS057355	tongue
SRS057539	tongue
SRS057692	tongue
SRS057791	tongue
SRS058336	tongue
SRS062540	tongue
SRS062544	tongue
SRS062761	tongue
SRS063193	tongue
SRS063288	tongue
SRS063932	tongue
SRS064423	tongue
SRS064774	tongue
SRS065278	tongue
SRS075404	tongue
SRS077736	tongue
SRS078182	tongue
